Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-31 15:45",99.768,99.768,99.706,99.716,-0.052,-0.05%,0
"2025-10-31 15:30",99.761,99.774,99.748,99.768,0.007,+0.01%,0
"2025-10-31 15:15",99.782,99.795,99.752,99.761,-0.021,-0.02%,0
"2025-10-31 15:00",99.814,99.814,99.776,99.782,-0.032,-0.03%,0
"2025-10-31 14:45",99.771,99.815,99.769,99.814,0.044,+0.04%,0
"2025-10-31 14:30",99.763,99.777,99.761,99.77,0.006,+0.01%,0
"2025-10-31 14:15",99.79,99.793,99.764,99.764,-0.027,-0.03%,0
"2025-10-31 14:00",99.803,99.818,99.79,99.791,-0.013,-0.01%,0
"2025-10-31 13:45",99.819,99.822,99.784,99.804,-0.015,-0.02%,0
"2025-10-31 13:30",99.804,99.831,99.804,99.819,0.015,+0.02%,0
"2025-10-31 13:15",99.818,99.825,99.797,99.804,-0.014,-0.01%,0
"2025-10-31 13:00",99.815,99.826,99.798,99.818,0.003,0.00%,0
"2025-10-31 12:45",99.813,99.818,99.79,99.815,0.001,0.00%,0
"2025-10-31 12:30",99.813,99.821,99.788,99.814,0.001,0.00%,0
"2025-10-31 12:15",99.811,99.843,99.803,99.813,0.002,0.00%,0
"2025-10-31 12:00",99.785,99.826,99.781,99.811,0.026,+0.03%,0
"2025-10-31 11:45",99.759,99.791,99.753,99.785,0.025,+0.03%,0
"2025-10-31 11:30",99.757,99.765,99.719,99.76,0.003,0.00%,0
"2025-10-31 11:15",99.758,99.8,99.752,99.757,-0.001,0.00%,0
"2025-10-31 11:00",99.707,99.77,99.687,99.758,0.05,+0.05%,0
"2025-10-31 10:45",99.808,99.811,99.697,99.708,-0.099,-0.10%,0
"2025-10-31 10:30",99.767,99.812,99.764,99.807,0.04,+0.04%,0
"2025-10-31 10:15",99.772,99.783,99.741,99.767,-0.006,-0.01%,0
"2025-10-31 10:00",99.742,99.802,99.735,99.773,0.031,+0.03%,0
"2025-10-31 09:45",99.751,99.777,99.724,99.742,-0.009,-0.01%,0
"2025-10-31 09:30",99.831,99.844,99.731,99.751,-0.079,-0.08%,0
"2025-10-31 09:15",99.756,99.834,99.75,99.83,0.074,+0.07%,0
"2025-10-31 09:00",99.729,99.763,99.709,99.756,0.029,+0.03%,0
"2025-10-31 08:45",99.813,99.826,99.726,99.727,-0.085,-0.09%,0
"2025-10-31 08:30",99.702,99.813,99.698,99.812,0.11,+0.11%,0
"2025-10-31 08:15",99.673,99.712,99.673,99.702,0.028,+0.03%,0
"2025-10-31 08:00",99.665,99.708,99.665,99.674,0.008,+0.01%,0
"2025-10-31 07:45",99.644,99.675,99.644,99.666,0.022,+0.02%,0
"2025-10-31 07:30",99.625,99.659,99.608,99.644,0.018,+0.02%,0
"2025-10-31 07:15",99.65,99.672,99.622,99.626,-0.023,-0.02%,0
"2025-10-31 07:00",99.572,99.656,99.572,99.649,0.078,+0.08%,0
"2025-10-31 06:45",99.61,99.618,99.564,99.571,-0.039,-0.04%,0
"2025-10-31 06:30",99.54,99.64,99.538,99.61,0.07,+0.07%,0
"2025-10-31 06:15",99.538,99.554,99.525,99.54,0.004,0.00%,0
"2025-10-31 06:00",99.549,99.549,99.515,99.536,-0.013,-0.01%,0
"2025-10-31 05:45",99.554,99.562,99.538,99.549,-0.005,-0.01%,0
